original_frame_id, video_frame_id, center_x, center_y, box_x1, box_y1, box_x2, box_y2, confidence
1054,1,168,468,146,452,191,485,0.74
1054,1,1271,304,1263,285,1280,323,0.68
1054,1,717,225,709,217,726,234,0.62
1054,1,397,181,377,165,418,197,0.60
1070,2,1264,309,1250,288,1279,331,0.68
1071,3,1263,310,1248,288,1279,333,0.73
1072,4,1262,314,1245,290,1280,339,0.71
1074,5,1262,314,1244,291,1280,338,0.74
1082,6,1261,322,1243,294,1280,350,0.76
1083,7,1260,324,1241,297,1280,352,0.74
1097,8,1256,334,1234,307,1279,361,0.78
1098,9,1255,337,1233,310,1277,364,0.76
1103,10,168,492,146,476,191,508,0.74
1108,11,1251,342,1228,316,1274,369,0.77
1109,12,1249,367,1227,341,1271,394,0.77
1110,13,1246,370,1225,343,1267,397,0.77
1121,14,1245,383,1223,354,1267,412,0.74
1123,15,168,492,146,476,191,509,0.73
1128,16,1243,389,1222,361,1265,418,0.81
1135,17,1242,393,1221,364,1264,422,0.78
1136,18,1242,397,1221,369,1264,426,0.75
1137,19,1243,399,1221,371,1265,427,0.76
1148,20,1238,414,1216,386,1261,443,0.76
1149,21,1238,417,1215,390,1262,444,0.78
1153,22,1237,423,1214,395,1261,451,0.79
1154,23,1236,424,1214,397,1258,452,0.76
1158,24,1232,426,1211,399,1254,454,0.77
1160,25,1231,429,1209,402,1254,456,0.78
1162,26,1230,436,1207,408,1254,464,0.79
1166,27,1228,441,1207,414,1250,469,0.77
1172,28,1228,451,1206,423,1251,479,0.78
1174,29,1227,456,1205,428,1249,485,0.80
1176,30,1226,458,1205,430,1248,487,0.78
1180,31,1225,463,1204,435,1247,491,0.78
1185,32,1223,473,1202,445,1244,501,0.77
1189,33,1222,478,1199,451,1246,505,0.81
1190,34,1222,479,1199,453,1246,506,0.80
1191,35,1220,481,1198,454,1243,508,0.79
1197,36,1214,485,1193,459,1235,512,0.78
1198,37,1214,487,1193,462,1235,513,0.77
1200,38,169,469,148,453,191,486,0.78
1200,38,1212,469,1191,443,1234,495,0.78
1200,38,717,225,709,217,726,234,0.61
1200,38,411,212,398,198,425,227,0.59
1200,38,588,419,567,403,610,436,0.57
1210,39,1209,502,1187,476,1231,528,0.78
1211,40,1208,503,1186,478,1230,529,0.79
1220,41,1203,516,1181,489,1225,544,0.78
1221,42,1203,518,1183,492,1223,545,0.76
1223,43,1204,522,1183,496,1225,549,0.77
1226,44,1202,526,1179,500,1226,552,0.80
1231,45,1200,533,1180,506,1220,560,0.76
1234,46,1201,541,1178,514,1225,569,0.76
1244,47,1198,553,1178,525,1218,582,0.77
1245,48,1199,554,1178,527,1221,582,0.77
1248,49,1199,562,1177,534,1221,591,0.80
1251,50,1197,566,1177,539,1217,594,0.79
1252,51,1197,567,1177,539,1217,595,0.79
1254,52,1196,572,1176,545,1216,600,0.75
1255,53,1195,575,1175,548,1216,603,0.78
1257,54,1196,582,1175,555,1217,609,0.78
1260,55,1195,588,1175,561,1216,615,0.75
1262,56,1194,590,1174,563,1214,617,0.73
1266,57,1192,591,1172,564,1213,618,0.75
1273,58,1190,597,1170,571,1210,623,0.75
1278,59,1186,603,1165,577,1208,630,0.76
1287,60,1182,609,1162,585,1202,633,0.77
1288,61,1181,609,1162,586,1201,633,0.79
1292,62,1178,613,1159,590,1198,636,0.75
1300,63,1175,620,1154,595,1197,645,0.77
1317,64,1169,636,1148,610,1191,663,0.76
1329,65,1166,644,1146,618,1186,670,0.76
1335,66,1165,645,1144,620,1186,671,0.76
1342,67,1160,654,1139,630,1181,679,0.76
1343,68,1160,657,1139,633,1181,682,0.75
1345,69,1161,659,1140,634,1183,685,0.74
1346,70,1162,660,1140,634,1184,687,0.74
1350,71,1157,666,1138,640,1177,692,0.75
1352,72,1157,669,1138,644,1177,695,0.75
1354,73,1156,674,1137,649,1175,700,0.78
1360,74,1154,679,1136,652,1173,707,0.74
1364,75,1153,687,1133,662,1174,712,0.79
1365,76,1153,689,1132,664,1174,715,0.77
1366,77,1154,691,1135,665,1174,717,0.76
1369,78,1153,694,1135,668,1171,720,0.74
1373,79,1153,696,1133,673,1173,720,0.74
1374,80,1153,697,1133,674,1173,720,0.75
1390,81,1150,716,1133,712,1168,720,0.71
1633,83,169,468,147,452,191,485,0.75
1633,83,397,180,377,165,418,195,0.65
1633,83,411,212,398,198,425,227,0.56
1636,84,168,492,147,476,190,509,0.77
1638,85,168,492,147,476,190,508,0.77
1641,86,168,492,147,476,190,508,0.77
1660,87,168,492,147,476,190,509,0.77
1679,88,168,492,146,476,190,509,0.77
1684,90,168,492,147,476,190,508,0.77
1686,91,168,492,147,476,190,508,0.77
1691,92,1132,717,1118,715,1147,720,0.66
1692,93,1132,716,1117,713,1147,720,0.67
1704,94,1131,710,1113,700,1150,720,0.75
1717,95,1128,701,1111,683,1146,720,0.73
1723,96,1126,698,1109,678,1144,718,0.75
1727,97,1123,670,1106,652,1140,689,0.74
1734,98,1120,665,1104,647,1137,684,0.75
1743,99,1114,689,1097,670,1132,708,0.74
1744,100,1114,689,1097,671,1132,708,0.76
1758,101,1103,696,1088,678,1119,714,0.73
1781,102,1090,706,1075,692,1106,720,0.72
1792,103,1086,710,1070,700,1102,720,0.71
1793,104,1085,711,1069,702,1101,720,0.71
1794,105,1082,711,1067,703,1098,720,0.71
2371,106,169,468,146,452,192,485,0.75
2371,106,412,212,399,198,425,227,0.63
2371,106,398,179,378,165,418,194,0.58
2371,106,1272,698,1264,680,1280,717,0.57
2377,107,1272,690,1265,667,1280,714,0.59
2378,108,1273,691,1267,668,1280,714,0.56
5196,109,168,468,146,452,191,485,0.74
5196,109,411,212,398,197,425,227,0.66
5196,109,397,180,377,165,418,195,0.65
5203,110,168,492,146,476,190,508,0.76
5204,111,168,492,146,476,190,508,0.75
5209,112,168,492,146,476,190,509,0.74
5227,113,168,492,146,476,190,508,0.74
5440,114,168,468,146,452,191,485,0.74
5440,114,411,212,398,198,424,226,0.57
5440,114,397,180,378,165,417,195,0.57
5935,115,168,468,146,452,191,485,0.75
5935,115,411,212,397,197,425,228,0.66
5935,115,588,420,567,404,609,437,0.51
5935,115,397,180,378,165,416,195,0.50
6238,116,168,469,146,453,191,485,0.76
6238,116,411,212,398,197,425,227,0.63
6238,116,397,180,378,165,417,195,0.57
6566,117,168,469,146,453,191,485,0.75
6566,117,411,212,398,198,424,227,0.62
6566,117,398,180,378,166,418,195,0.57
6566,117,717,226,709,218,725,234,0.53
8625,118,168,469,146,453,191,485,0.70
8625,118,411,213,398,198,424,228,0.65
8625,118,397,180,378,166,416,195,0.61
8625,118,618,156,600,140,636,173,0.52
8625,118,717,225,709,218,725,233,0.51
8775,120,168,469,146,453,191,485,0.76
8775,120,411,212,397,197,425,227,0.65
8775,120,398,180,378,165,418,195,0.63
8775,120,717,225,709,217,725,234,0.56
